errate,giusta,domanda
"['By initially concentrating on the most complex tasks.', 'By optimizing as much as possible first.', 'By replacing the existing tools first..']",['By replacing human intervention wherever possible.'],How should automation be implemented?
"['Service Level Management.', 'Service value chain inputs.', 'Change Control.']",['Service value chain activities.'],"What are 'engage', 'plan' and 'improve' examples of?"
"['Standardizing practices and services.', 'Determining where the most positive impact would be.', 'Securing stakeholder engagement.']",['Understanding the vision and objectives of the organization.'],What is the starting point for optimization?
"['Retire, Test, Operate, Deploy, Ideation, Develop, Design.', 'None of the above.', 'Ideation, Test, Develop, Deploy, Design, Operate, Retire.']","['Ideation, Design, Develop, Deploy, Test, Operate, Retire.']",Arrange the following steps of software lifecycle in correct order. *1. Retire *2. Test *3. Operate *4. Deploy *5. Ideation *6. Develop *7. Design.
"['Whenever the problem is resolved.', 'Whenever the workaround becomes a known error.', 'Whenever the problem is prioritized.']",['Whenever the workaround is used.'],When should the effectiveness of a problem workaround be assessed?
"['Service Configuration Management.', 'Problem Management.', 'Service Level Management.']",['Change Control.'],Which practice has a purpose that includes ensuring that risks have been properly assessed?
"['A possible event that could cause harm or loss.', 'A result for a stakeholder.', 'A change of state that has significance for the management of a configuration item.']",['Something created by carrying out an activity.'],What is an output?
"['Plans.', 'Process.', 'Tools.']",['Measurement.'],"The use of [?] should support, not replace what is observed, when using the 'start where you are' guiding principle."
"['Change Control.', 'Continual Improvement.', 'Service Desk.']",['Problem Management.'],Which ITIL practice has a purpose that includes reducing the likelihood of incidents?
"['It should have a workaround to reduce the impact.', 'It should be resolved so that it can be closed.', 'It should be diagnosed to identify possible solutions.']",['It should be prioritized based on its potential impact and probability.'],What should be done for every problem?
"['What is the vision?', 'How do we get there?', 'Did we get there?']",['Take action.'],In which step of the Continual Improvement model is an improvement plan implemented?
"['Workflow management and inventory systems.', 'Communication systems and knowledge bases.', 'Security and compliance.']",['Roles and responsibilities.'],Which is NOT a key focus of the 'information and technology' dimension?
"['Tangible or intangible deliverables.', ""Configuration of an organization's resources."", 'Functionality offered by a product or service.']",['Results desired by a stakeholder.'],Which describes outcomes?
"['A backup server is being rebooted while services are running on the primary server.', 'A user has requested access to a shared repository.', 'A user wants to reset the password of a server.']",['An application is not available during the business hours.'],Which of the following is an example of incident?
"['Service management.', 'Continual Improvement.', 'An IT asset.']",['A service.'],"What is a means of enabling value co-creation by facilitating outcomes that customers want to achieve, without the customer having to manage specific costs and risks?"
"['To observe services and service components.', 'To ensure that accurate and reliable information about the configuration of services is available when and where it is needed.', 'To plan and manage the full lifecycle of all IT assets.']",['To protect the information needed by the organization to conduct its business.'],What is the purpose of the Information Security Management practice?
"['The consumer demand for the service.', 'The time that the customer indicates for service delivery.', 'The service levels of the supplier.']",['The time needed to realistically deliver the service.'],What should be used to set user expectations for request fulfilment times?
"['Problem investigation and resolution.', 'Incident Analysis and Prioritization.', 'Balanced scorecard reviews and maturity assessment.']",['Business analysis and commercial management.'],Which competencies are required by the Service Level Management practice?
"['The review and Authorization of a change requested by a customer.', 'The implementation of a critical software patch in response to a vendor security issue.', 'The replacement of a component in response to a major incident.']",['The installation of a software application in response to a service request.'],Which is the BEST example of a standard change?
"['Phone calls.', 'Text and social media messaging.', 'Email.']",['All of the above.'],Which of the following can be used to access Service Desks?
"['A user requests delivery of a laptop.', 'A Monitoring tool detects a change of state for a service.', 'Continual Improvement needs to prioritize an improvement opportunity.']",['Trend analysis shows a large number of similar incidents.'],Which of these should be logged and managed as a problem?
"['Measuring the performance over the first six months, and basing a solution on the results.', 'Asking customers to provide numerical targets that meet their needs.', 'Asking customers open questions to establish their requirements.']",['Using operational data to provide detailed service reports.'],What should be done to determine the appropriate metrics for measuring a new service?
"['Progress iteratively with feedback.', 'Think and work holistically.', 'Focus on value.']",['Keep it simple and practical.'],Which guiding principle recommends using the minimum number of steps necessary to achieve an objective?
"['Partners and suppliers.', 'Information and technology.', 'Organizations and people.']",['Value streams and processes.'],Which dimension includes activities and workflows?
"['Changes included in the change schedule are pre-authorized and do not need additional Authorization.', 'Emergency Changes should be authorized by as many people as possible to reduce risk.', 'Normal changes are typically implemented as service requests and authorized by the Service Desk.']",['Normal changes should be assessed and authorized before they are deployed.'],Which describes a CORRECT approach to change Authorization?
"['Use a new method for each improvement the organization handles.', 'Build the capability to use as many improvement methods as possible.', 'Select a single method for all improvements that the organization handles.']",['Select a few key methods for the types of improvement that the organization handles.'],How should an organization adopt Continual Improvement methods?
"['Closed.', 'Logged.', 'Escalated.']",['Analysed.'],A known error is a problem that has been [?] and has not been resolved.
"['Partners and suppliers.', 'Information and technology.', 'Organizations and people.']",['Value streams and processes.'],Which dimension includes a workflow management system?
"['To reduce the likelihood and impact of incidents by identifying actual and potential causes of incidents.', 'To set clear business-based targets for service performance.', 'To maximize the number of successful IT changes by ensuring risks are properly assessed.']",['To capture demand for Incident Resolution and service requests.'],Which is a purpose of the Service Desk practice?
"['Continual Improvement.', 'Service Desk.', 'Problem Management.']",['Service Level Management.'],Which practice identifies metrics that reflect a customer experience of a service?
"['It uses prescriptive inputs and outputs.', 'It is a value chain activity.', 'It is used to provide governance.']",['It integrates practices for a specific scenario.'],Which statement about a service value stream is CORRECT?
"['Start where you are.', 'Keep it simple and practical.', 'Progress iteratively with feedback.']",['Think and work holistically.'],Which guiding principle recommends coordinating all dimensions of service management?
"['They should be complex and detailed.', 'They should include incident handling.', 'They should be brief and simple.']",['They should be well-known and proven.'],Which statement about the steps to fulfill a service request is CORRECT?
"['Relationship Management.', 'Service Configuration Management.', 'Service Level Management.']",['Continual Improvement.'],Which practice has a purpose that includes aligning the organization's practices and services with changing business needs?
"['Use a single workflow for all types of service request.', 'Use different workflows for each type of service request.', 'Avoid workflows for simple service requests.']",['Leverage existing workflows whenever possible.'],How should the workflow for a new service request be designed?
"['Costs removed from the consumer are part of service consumption.', 'Costs imposed on the consumer are costs of service utility.', 'Costs imposed on the consumer are costs of service warranty.']",['Costs removed from the consumer are part of the value proposition.'],Which statement about costs is CORRECT?
"['Incident Management.', 'Service Request Management.', 'Problem Management.']",['Continual Improvement.'],"Which practice uses techniques such as SWOT analysis, balanced scorecard reviews, and maturity assessments?"
"['They consist of several outcomes.', 'They capture customer demand for services.', 'They describe how the service performs.']",['They contribute to the achievement of outcomes.'],Which statement about outputs is CORRECT?
"['As an event.', 'As a service request.', 'As a change request.']",['As a problem.'],"A major incident has been closed, but there is a risk that it might happen again. How should this be logged and managed?"
"['Services based on one or more products, designed to address needs of a target consumer group.', 'Joint activities performed by a service provider and a service consumer to ensure continual value co\xadcreation.', 'How to apply the systems approach of the guiding principle think and work holistically.']",['How all the components and activities of the organization work together as a system to enable value creation.'],What is described by the service value system?
"['To direct and control an organization.', 'To identify activities that an organization must perform in order to deliver a valuable service.', ""To ensure that an organization's performance continually meets stakeholders' expectations.""]",['To help an organization make good decisions.'],What are the ITIL guiding principles used for?
"['Investor and supplier.', 'Provider and supplier.', 'Investor and consumer.']",['Consumer and provider.'],Which stakeholders co-create value in a service relationship?
"['The replacement of a toner cartridge.', 'The provision of a laptop.', 'A complaint about a support team.']",['The degradation of a service.'],Which will NOT be handled as a service request?
"['Change Control.', 'Service Level Management.', 'Service Request Management.']",['Problem Management.'],Which practice needs people who understand complex systems and have creative and analytical skills?
"['Service Desk.', 'Service Request Management.', 'Service Configuration Management.']",['Service Level Management.'],Which ITIL practice recommends performing service reviews to ensure that services continue to meet the needs of the organization?
"['Fulfilling a service request.', 'Authorizing an Emergency Change.', 'Logging a new problem.']",['Investigating a major incident.'],Which usually requires a team of representatives from many stakeholder groups?
"['Incidents.', 'Problems.', 'Requests.']",['Events.'],"What are typically recognized through notifications created by an IT service, CI or Monitoring tool?"
"['Focus on value.', 'Optimize and automate.', 'Collaborate and promote visibility.']",['Think and work holistically.'],Which guiding principle is PRIMARILY concerned with end-to-end service delivery?
"['Creating incident records.', 'Diagnosing and resolving incidents.', 'Escalating incidents to a support team for resolution.']",['Trend analysis of incident records.'],Which of these activities is carried out as part of Problem Management?
"['Standard changes are those that need to be scheduled, assessed and authorized following a standard process.', 'Assessment and Authorization of normal changes should be expedited to ensure they can be implemented quickly.', 'There should be a separate change authority for standard changes which includes senior managers who understand the risks involved.']",['Normal changes are triggered by the creation of a change request which can be created manually or automated.'],Which statement about the Change Control practice is CORRECT?
"['Progress iteratively with feedback.', 'Optimize and automate.', 'Start where you are.']",['Focus on value.'],Which guiding principle considers the importance of customer loyalty?
"['Schedule, assess, authorize.', 'Diagnose, investigate, resolve.', 'Acknowledge, classify, own.']","['Initiate, approve, fulfil.']","What actions does a Service Desk take for all issues, queries and requests that are reported to them?"
"[""The 'improve' value chain activity."", 'An overall plan.', 'Feedback loops.']",['Customer requirements.'],Which is an external input to the service value chain?
"['The activities, workflows, controls and procedures needed to achieve the agreed objectives.', 'The information created, managed and used in the course of service provision and consumption.', 'The required skills and competencies of teams and individual members of the organization.']",['The level of integration and formality involved in the relationships between organizations.'],What should be considered as part of the 'partners and suppliers' dimension?
"['Supplier Management.', 'Change Control.', 'Service Desk.']",['Relationship Management.'],Which ITIL practice has the purpose to establish and nurture the links between the organization and its stakeholders at strategic and tactical levels?
"['A mobile phone enables a user to work remotely.', 'A password allows a user connect to a WiFi network.', 'A license allows a user to install a software product.']",['A Service Desk agent provides support to a user.'],"A service offering may include goods, access to resources, and service actions. Which is an example of a service action?"
"['Change Control.', 'IT Asset Management.', 'Service Desk.']",['Service Request Management.'],Which practice has a purpose to support the quality of the service by handling all agreed user-initiated service requests?
"['An unplanned interruption to a service, or reduction in the quality of a service.', 'An incident for which a full resolution is not yet available.', 'Any change of state that has significance for the management of a configuration item (CI).']","['A cause, or potential cause, of one or more incidents.']",What is the definition of a problem?
"['Operational metrics.', 'Business metrics.', 'Customer feedback.']",['Customer engagement.'],What aspect of Service Level Management asks service consumers what their work involves and how technology helps them?
"['By using all the guiding principles equally when making any decision.', 'By using the one or two guiding principles that are most relevant to the specific decision.', ""By using the 'focus on value' principle and one or two others that are relevant to the specific decision.""]",['Review each guiding principle to decide how relevant it is to the specific decision.'],How should the seven guiding principles be combined when an organization is making a decision?
"['Use of shift working patterns.', 'Fulfilment of service requests.', 'Creation of a temporary team.']",['Scripts for collecting user information.'],Which directly assists with the diagnosis and resolution of simple incidents?
"['Executing improvement actions.', 'Defining the improvement plan.', 'Understanding the business mission.']",['Performing baseline assessments.'],Which activity contributes to the 'where are we now?' step of the Continual Improvement model?
"['Incident Management.', 'Continual Improvement.', 'Relationship Management.']",['Service Desk.'],"Which practice provides a communications point for users to report operational issues, queries and requests?"
"['The average time to respond to change requests.', 'The average resolution time for incidents.', 'The number of problems resolved.']",['The number of passengers checked in.'],Which is an example of a business related measurement?
"['Restricting information about the improvement to essential stakeholders only.', 'Increasing collaboration and visibility for the improvement.', 'Engaging every stakeholder group in the same way, with the same communication.']",['Involving customers after all planning has been completed.'],What can help to reduce resistance to a planned improvement when applying the guiding principle 'collaborate and promote visibility'?
"['To capture demand for Incident Resolution and service requests.', 'To reduce the likelihood and impact of incidents by identifying actual and potential causes of incidents.', 'To support the agreed service quality by effective handling of all agreed user-initiated service requests.']",['To minimize the negative impact of incidents by restoring normal service operation as quickly as possible.'],What is the purpose of the Incident Management practice?
"['A risk.', 'A practice.', 'An outcome.']",['An organization.'],"What varies in size and complexity, and uses functions to achieve its objectives?"
"['To organize a major improvement initiative into several smaller initiatives.', 'To make new and improved services and features available for use.', 'To ensure a shared understanding of the vision and improvement direction for all products and services.']",['To continually improve all products and services across all value chain activities.'],Which BEST describes the purpose of the 'improve' value chain activity?
"['Organization.', 'Sponsor.', 'Service provider.']",['Customer.'],What takes responsibility for the outcomes of service consumption?
"['Change Control.', 'Service Level Management.', 'Problem Management.']",['Service Desk.'],Which practice forms a link between the service provider and the users of services?
"['Deployment Management.', 'Release Management.', 'Service Configuration Management.']",['Change Control.'],"Which practice ensures that any addition, modification, or removal of anything that could have an effect on services is assessed and authorized?"
"[""To protect the organization's information."", 'To handle user-initiated service requests.', 'To move hardware and software to live environments.']",['To make new and changed services available for use.'],Which is a purpose of Release Management?
"['A current state assessment that is carried out at the start of an improvement initiative.', 'The identification of all interested parts at the start of an improvement initiative.', 'An assessment of how all the parts of an organization will affect an improvement initiative.']",['An improvement initiative that is broken into a number of manageable sections.'],What is recommended by the guiding principle 'progress iteratively with feedback'?
"[""The 'deliver and support' value chain activity."", ""The 'focus on value' guiding principle."", ""The 'value stream and processes' dimension.""]",['The service value system.'],"Which includes governance, management practices, and Continual Improvement?"
"['Outcomes.', 'Value.', 'Utility.']",['Warranty.'],"What term is used to describe whether a service will meet availability, capacity and security requirements?"
"['Collaborate and promote visibility.', 'Start where you are.', 'Keep it simple and practical.']",['Focus on value.'],Which guiding principle considers customer and user experience?
"['Standardization of practices and services.', ""Understanding the customer's perception of value."", 'Understanding the current state and identifying what can be reused.']",['The ability to discover and respond to failure earlier.'],Which is a result of applying the guiding principle 'progress iteratively with feedback'?
"['The ITIL guiding principles.', 'The four dimensions of service management.', 'A service relationship.']",['The ITIL service value system.'],What describes how components and activities work together to facilitate value creation?
"['All improvement ideas should be logged in a single Continual Improvement register.', 'A single team should carry out Continual Improvement across the organization.', 'Continual Improvement should have minimal interaction with other practices.']",['Everyone in the organization is responsible for some aspects of Continual Improvement.'],Which statement about Continual Improvement is CORRECT?
"['A set of interconnected activities that help an organization deliver a valuable service.', 'A description of one or more services that help address the needs of a target consumer group.', 'A set of specialized organizational capabilities for enabling value for customers.']",['Recommendations that help an organization when adopting a service management approach.'],What are guiding principles?
"['Information and technology.', 'Partners and suppliers.', 'Value streams and processes.']",['Organizations and people.'],"Which dimension is MOST concerned with skills, competencies, roles and responsibilities?"
"['Service requests are usually normal changes that can be implemented quickly without Authorization.', 'Emergency Changes are changes that must be fully tested and fully documented prior to implementation.', 'Standard changes are changes that need to be scheduled, assessed and authorized following a standard process.']",['Emergency Changes are changes that must be implemented as soon as possible and therefore Authorization is expedited.'],Which statement about the Change Enablement practice is CORRECT?
"['Availability.', 'Tarranty.', 'Outcome.']",['Utility.'],What can be used to determine if a service is 'fit for purpose'?
"['Continual Improvement.', 'Monitoring and Event Management.', 'Service Level Management.']",['Information security management.'],"Which practice has a purpose that includes managing risks to confidentiality, integrity and availability?"
"['Define measurable targets.', 'Perform baseline assessments.', 'Execute improvement actions.']",['Evaluate measurements and metrics.'],Which is a key activity carried out in the 'did we get there?' step of the Continual Improvement model?
"['Utility.', 'Asset.', 'Outcome.']",['Cost.'],What can a service remove from the consumer and impose on the consumer?
"['Changes to service levels.', 'Changes to organizational structure.', 'Changes to skills and competencies.']",['Changes to products and services.'],What does Change Enablement PRIMARILY focus on?
"['Problem.', 'Event.', 'Resolution.']",['Incident.'],"You are attempting to print a document from your workstation to the network printer in your office. The print job failed when you attempted to print, so you called the service desk for assistance. What term best describes your issue?"
"['Assets.', 'Values.', 'Elements.']",['Services.'],"A change is defined as the addition, modification, or removal of anything that could have a direct or indirect effect on [?]."
"['The failure of an IT service.', 'An Emergency Change to implement a security patch.', 'An investigation to identify the cause of an incident.']",['A compliment about an IT support team.'],Which is handled as a service request?
"['Using individual metrics that relate to the service catalogue.', 'Using single-system-based metrics that relate to outputs.', 'Using an agreement between the service provider and service supplier.']",['Using bundled metrics to relate performance to outcomes.'],Which is a key requirement for a successful service level agreement (SLA)?
"['Using artificial intelligence.', 'Defining controls and procedures.', 'Using formal roles and responsibilities.']",['Working with an integrator to manage relationships.'],Which is considered by the 'partners and suppliers' dimension?
"['Increased phone contact and a reduced ability to focus on user experience.', 'Ability to work from multiple locations, geographically dispersed.', 'Ability to work from a single centralised location.']",['Less low level work and a greater ability to focus on user experience.'],What impact does automation have on a Service Desk?
"['Start where you are.', 'Focus on value.', 'Keep it simple and practical.']",['Collaborate and promote visibility.'],An organization asks a stakeholder to review a planned change. Which guiding principle does this demonstrate?
"['Problem Management.', 'Service Level Management.', 'Service Request Management.']",['Incident Management.'],Which practice recommends using tools for collaboration and the automated matching of symptoms?
"['It provides shared service expectations.', 'It removes constraints from the customer.', 'It enables a common definition of value.']",['It enables effective stakeholder management.'],"In service relationships, what is a benefit of identifying consumer roles?"
"['Service Configuration Management.', 'Change Enablement.', 'Service Level Management.']",['Service Request Management.'],Which practice would help a user gain access to an application that they need to use?
"['Service level agreements.', 'Opportunity, demand and value.', 'Service Desk.']","['Inputs, outputs and triggers.']",What is used to link activities within the service value chain?
"['They are established, reviewed, and reported to ensure that customers are happy with the service.', 'They are initiated, approved, and managed to ensure that predictable responses are achieved.', 'They are scheduled, assessed and authorized to reduce the risk of service failures.']","['They are agreed, documented, and communicated to help set user expectations.']",How are target resolution times used in the Incident Management practice?
"['Change Enablement and Continual Improvement.', 'Change Enablement and Problem Management.', 'Incident Management and Continual Improvement.']",['Problem Management and Incident Management.'],Which two practices use workarounds?
"['The service value chain converts value into demand.', 'Each value chain activity identifies a requirement for resources from an external supplier.', 'The service value chain uses value streams to describe a combination of consumers and providers.']",['Each value chain activity uses different combinations of practices to convert inputs into outputs.'],Which statement about the service value chain is CORRECT?
"['Service consumer.', 'Customer.', 'Supplier.']",['Service provider.'],The Service Desk should be the entry point and single point of contact for the [?] with all of its users.
"['Low impact incidents should be resolved efficiently, making logging unnecessary.', 'The Incident Management practice should use a single process regardless of the impact of the incident.', 'Incidents with the lowest impact should be resolved first.']",['Low impact incidents should be resolved efficiently so the resource required is reduced.'],Which statement about managing incidents is CORRECT?
"['Change Enablement.', 'Service Level Management.', 'Supplier Management.']",['Service Desk.'],Which practice has a strong influence on the user experience and perception of the service provider?
"['Target resolution times.', 'Escalating all incidents to support teams.', 'Collaboration between teams.']",['Detailed procedural steps for incident investigation.'],Which will help solve incidents more quickly?
"[""To align the organization's practices and services with changing business needs."", 'To set clear business-based targets for service performance.', 'To support the agreed quality of a service handling all agreed, user-initiated service requests.']",['To establish and nurture the links between the organization and its stakeholders.'],What is the purpose of the Relationship Management practice?
"['A service that is fit for use.', 'A service that meets its service level targets.', 'A service that increases constraints on the consumer.']",['A service that supports the performance of the consumer.'],Which describes the utility of a service?
"['To ensure that spending is properly accounted for.', 'To ensure that information security requirements are met.', 'To set user expectations for fulfilment times.']",['To streamline the fulfilment workflow.'],Why should some service requests be fulfilled with no additional approvals?
"['Only add controls and metrics when they are needed.', 'Design controls and metrics and add them individually until all are implemented.', 'Only add controls and metrics that are required for compliance.']","['Design controls and metrics first, then remove those not adding value.']",Which approach is CORRECT when applying the guiding principle 'keep it simple and practical'?
"['Organizations and people.', 'Partners and suppliers.', 'Value streams and processes.']",['Information and technology.'],Which dimension considers data security and privacy?
"['Service Request Management.', 'Change Control.', 'Service Level Management.']",['Problem Management.'],Which practice involves the management of vulnerabilities that were not identified before the service went live?
"['Conduct a review of existing service management practices and decide what to keep and what to discard.', 'Review how an improvement initiative can be organized into smaller, manageable sections that can be completed in a timely manner.', 'Review service management practices and remove any unnecessary complexity.']",['Use the four dimensions of service management to ensure coordination of all aspects of an improvement initiative.'],Which is a recommendation of the guiding principle 'think and work holistically'?
"['Engage.', 'Obtain/build.', 'Plan.']",['Design and transition.'],Which value chain activity ensures that products meet stakeholder expectations for quality?
"['To protect the information needed by the organization to conduct its business.', ""To align the organization's practices and services with changing business needs through the ongoing identification and improvement of services."", 'To minimize the negative impact of incidents by restoring normal service operation as quickly as possible.']","['To reduce the likelihood and impact of incidents by identifying actual and potential causes of incidents, and managing workarounds and known errors.']",What is the purpose of the Problem Management practice?
"['After the problem has been logged.', 'After the problem has been prioritized.', 'After the problem has been resolved.']",['After the problem has been analyzed.'],When is the earliest that a workaround can be documented in Problem Management?
"['Plan.', 'Design and transition.', 'Deliver and support.']",['Build.'],Which value chain activity ensures that service components meet agreed specifications?
"['Practices.', 'The service value chain.', 'The guiding principles.']",['The service value system.'],What includes governance as a component?
"['Service offering.', 'Service provision.', 'Service consumption.']",['Service management.'],What is a set of specialized organizational capabilities for enabling value for customers in the form of services?
"['Change Control.', 'Deployment Management.', 'IT Asset Management.']",['Release Management.'],Which practice makes new services available for use?
"['Restoration of normal service operation as quickly as possible.', 'Authorization of changes to resolve the cause of problems.', 'Resolution of incidents in a time that meets customer expectations.']",['Prioritization of problems based on the risk that they pose.'],Which is an activity of the Problem Management practice?
"['Service requirement.', 'Service agreement.', 'Service consumption.']",['Service provision.'],Which gives a user access to a system?
"['To maximize the number of successful service and product changes.', 'To ensure accurate information about the configuration of services is available.', 'To ensure that suppliers and their performance are managed appropriately.']",['To set clear business-based targets for service levels.'],Which is included in the purpose of the Service Level Management practice?
"['Service management.', 'Cost.', 'Utility.']",['Warranty.'],Which term relates to service levels aligned with the needs of service consumers?
"['An unplanned interruption to a service, or reduction in the quality of a service.', 'A cause, or potential cause, of one or more incidents.', 'Any change of state that has significance for the management of a service or other configuration item (CI).']",['A problem that has been analysed and has not been resolved.'],What is the definition of a known error?
"['It should always be used instead of direct observation.', 'Measured data is always more accurate than direct observation.', 'The act of measuring always positively impacts results.']",['It should always be used to support direct observation.'],Which statement about the use of measurement in the 'start where you are' guiding principle is CORRECT?
"['The amount of money the customer pays for using the service.', 'The financial return the customer gets from using the service.', 'The outcomes the customer receives by using the service.']","[""The customer's perception of the benefits of using the service.""]",Which is the BEST description of the value of a service to a customer?
"['Change Control.', 'Service Request Management.', 'Service Level Management.']",['Problem Management.'],Which practice involves the management of vulnerabilities that have been analysed but not resolved?
"['Assessing and prioritizing improvement opportunities.', 'Performing service reviews with customers.', 'Automating service requests to the greatest degree possible.']",['Providing good-quality updates when expected.'],Which is an activity of the Incident Management practice?
"['The guiding principles.', 'Governance.', 'Practices.']",['The four dimensions of service management.'],Which is NOT a component of the service value system?
"['Change.', 'Event.', 'Known error.']",['Problem.'],"What is defined as a cause, or potential cause, of one or more incidents?"
"['Service Level Management.', 'Change Enablement.', 'Continual Improvement.']",['Service Desk.'],Which practice is MOST likely to benefit from the use of chatbots?
"['Suppliers.', 'Customers.', 'Assets.']",['CIs.'],"The purpose of the Service Configuration Management practice is to ensure that accurate and reliable information about the configuration of services, and the [?] that support them, is available when and where it is needed."
"['Outcomes are one or more services that fulfill the needs of a service consumer.', 'Outcomes help service consumers achieve outputs.', 'Helping service consumers achieve outcomes reduces service provider costs.']",['Service providers help service consumers achieve outcomes.'],Which statement about outcomes is CORRECT?
"['Outcomes are how the service performs.', 'An output can be enabled by one or more outcomes.', 'An outcome is a tangible or intangible activity.']",['An outcome can be enabled by more than one output.'],Which statement about outcomes is CORRECT?
"['Meeting expectations for quality, costs and time-to-market.', 'Ensuring the Continual Improvement of services.', ""Ensuring that the organization's vision is understood.""]",['Providing transparency and good relationships.'],Which is a purpose of the 'engage' value chain activity?
"['Complex service requests should be dealt with as normal changes.', 'Service requests that require simple workflows should be dealt with as incidents.', 'Service requests require workflows that should use manual procedures and avoid automation.']","['Service requests are usually formalized using standard procedures for initiation, approval and fulfilment.']",Which statement about service requests is CORRECT?
"['Release Management.', 'Change Enablement.', 'Supplier Management.']",['Deployment Management.'],Which practice is responsible for moving new or changed components to live or other environments?
"['Organizations and people.', 'Information and technology.', 'Value streams and processes.']",['Partners and suppliers.'],"Which dimension focuses on relationships with other organizations that are involved in the design, development, deployment and delivery of services?"
"['Check that suitable new technology has been purchased.', 'Ensure that DevOps has been successfully implemented.', 'Ensure the solution removes the need for human intervention.']",['Check that the activity has already been optimized.'],What must always be done before an activity is automated?
"['1 and 2.', '2 and 3.', '3 and 4.']",['1 and 4.'],Which two statements about an organization's culture are CORRECT? 1. It is created from shared values based on how it carries out its work 2. It is determined by the type of technology used to support services 3. It should be based on the culture of prospective suppliers 4. It should be based on the objectives of the organization
"['Service requests that cannot be automated should be handled as incidents.', 'Service requests that cannot be automated should be handled as problems.', 'Service requests and their fulfilment should be carried out by Service Desk staff without automation.']",['Service requests and their fulfilment should be automated as much as possible.'],Which statement about the automation of service requests is CORRECT?
"['To ensure services achieve agreed and expected performance.', 'To make new or changed services available for use.', 'To set clear business-based targets for service performance.']",['To move new or changed components to live environments.'],What is the purpose of the Deployment Management practice?
"['To help plan Emergency Changes.', 'To help authorize standard changes.', 'To help assign a change authority.']",['To help manage normal changes.'],What is a change schedule PRIMARILY used for?
"['The four dimensions of service management.', 'The ITIL guiding principles.', 'Continual Improvement.']",['The service value chain.'],Which can act as an operating model for an organization?
"['Any component that needs to be managed in order to deliver a service.', 'A request from a user mat initiates a service action.', 'The removal of anything that could have a direct or indirect effect on services.']",['Any financially valuable component that can contribute to delivery of an IT product or service.'],What is an IT asset?
"['It should be written in legal language.', ""It should be based on the service provider's view of the service."", 'It should relate to simple operational metrics.']",['It should be simply written and easy to understand.'],Which is a key requirement for a successful service level agreement?
"['User.', 'Change authority.', 'Customer.']",['Sponsor.'],Which role approves the cost of services?
"['The amount of money spent on a specific activity or resource.', 'The functionality offered by a product or service to meet a particular need.', 'The perceived benefits, usefulness and importance of something.']",['Assurance that a product or service will meet agreed requirements.'],What is warranty?
"['Problem logging, problem classification, problem resolution.', 'Incident Management, Problem Management, Change Enablement.', 'Problem analysis, error identification, Incident Resolution.']","['Problem identification, problem control, error control.']",What are the three phases of Problem Management?
